run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T121839868864,v0,v0+pae24d3c60694+t961553152fa3,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T121938616562,v1,v1+pae24d3c60694+t961553152fa3,base,M06_switch_tool,True,wrong_tool,extra_tool_call,lookup,lookup|social_search,False,False,False,extra tool call social_search
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T122215495180,v1,v1+pae24d3c60694+t961553152fa3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
